text,author,tags,source
"As a cure for worrying, work is better than whisky.",Thomas Edison,['Humorous'],api
Everything comes to him who hustles while he waits.,Thomas Edison,"['Success', 'Motivational']",api
I never did a day's work in my life.  It was all fun.,Thomas Edison,['Humorous'],api
"I do not know the American gentleman, god forgive me for putting two such words together.",Charles Dickens,['Humorous'],api
We need never be ashamed of our tears.,Charles Dickens,['Sadness'],api
"Minds, like bodies, will often fall into a pimpled, ill-conditioned state from mere excess of comfort.",Charles Dickens,['Weakness'],api
"Train up a fig tree in the way it should go, and when you are old sit under the shade of it.",Charles Dickens,"['Age', 'Wisdom']",api
"Subdue your appetites, my dears, and you've conquered human nature.",Charles Dickens,[],api
"Faith, as well intentioned as it may be, must be built on facts, not fiction--faith in fiction is a damnable false hope.",Thomas Edison,['Religion'],api
There is no expedient to which a man will not go to avoid the labor of thinking.,Thomas Edison,['Work'],api
No one is useless in this world who lightens the burdens of another.,Charles Dickens,['Generosity'],api
"Results! Why, man, I have gotten a lot of results. I know several thousand things that won't work.",Thomas Edison,"['Success', 'Failure', 'Perseverance']",api
"Reflect on your present blessings, of which every man has many; not on your past misfortunes, of which all men have some.",Charles Dickens,['Gratitude'],api
Opportunity is missed by most people because it is dressed in overalls and looks like work.,Thomas Edison,"['Opportunity', 'Work']",api
"The doctor of the future will give no medicine, but will interest her or his patients in the care of the human frame, in a proper diet, and in the cause and prevention of disease.",Thomas Edison,"['Health', 'Wellness']",api
We don't know a millionth of one percent about anything.,Thomas Edison,['Knowledge'],api
"If we all did the things we are capable of doing, we would literally astound ourselves.",Thomas Edison,"['Inspirational', 'Motivational']",api
"To invent, you need a good imagination and a pile of junk.",Thomas Edison,"['Imagination', 'Creativity', 'Science', 'Technology']",api
"I never did anything worth doing by accident, nor did any of my inventions come by accident",Thomas Edison,"['Success', 'Science']",api
"Hell, there are no rules here-- we're trying to accomplish something.",Thomas Edison,[],api
